transaction_id,date,store,region,product,quantity,price,revenue
TXN-00001,2025-07-03,Downtown Store,West,Laptop,2,75000,150000
TXN-00002,2025-07-08,Mall Store,South,Smartphone,5,25000,125000
TXN-00003,2025-07-15,Central Store,North,Tablet,3,18000,54000
TXN-00004,2025-07-21,Airport Store,East,Monitor,4,22000,88000
TXN-00005,2025-07-29,Downtown Store,West,Keyboard,10,2500,25000
TXN-00006,2025-08-02,Mall Store,South,Laptop,1,75000,75000
TXN-00007,2025-08-11,Central Store,North,Smartphone,4,25000,100000
TXN-00008,2025-08-18,Airport Store,East,Tablet,6,18000,108000
TXN-00009,2025-08-25,Downtown Store,West,Monitor,3,22000,66000
TXN-00010,2025-09-04,Mall Store,South,Keyboard,12,2500,30000
TXN-00011,2025-09-12,Central Store,North,Laptop,2,75000,150000
TXN-00012,2025-09-20,Airport Store,East,Smartphone,3,25000,75000
TXN-00013,2025-09-27,Downtown Store,West,Tablet,4,18000,72000
TXN-00014,2025-10-03,Mall Store,South,Monitor,5,22000,110000
TXN-00015,2025-10-09,Central Store,North,Keyboard,8,2500,20000
TXN-00016,2025-10-15,Airport Store,East,Laptop,3,75000,225000
TXN-00017,2025-10-22,Downtown Store,West,Smartphone,6,25000,150000
TXN-00018,2025-10-28,Mall Store,South,Tablet,5,18000,90000
TXN-00019,2025-11-04,Central Store,North,Monitor,4,22000,88000
TXN-00020,2025-11-11,Airport Store,East,Keyboard,15,2500,37500
TXN-00021,2025-11-18,Downtown Store,West,Laptop,2,75000,150000
TXN-00022,2025-11-25,Mall Store,South,Smartphone,5,25000,125000
TXN-00023,2025-12-02,Central Store,North,Tablet,3,18000,54000
TXN-00024,2025-12-09,Airport Store,East,Monitor,6,22000,132000
TXN-00025,2025-12-16,Downtown Store,West,Keyboard,20,2500,50000
TXN-00026,2026-01-05,Mall Store,South,Laptop,2,75000,150000
TXN-00027,2026-01-12,Central Store,North,Smartphone,4,25000,100000
TXN-00028,2026-01-19,Airport Store,East,Tablet,7,18000,126000
TXN-00029,2026-01-26,Downtown Store,West,Monitor,3,22000,66000
TXN-00030,2026-02-03,Mall Store,South,Keyboard,14,2500,35000
TXN-00031,2026-02-10,Central Store,North,Laptop,3,75000,225000
TXN-00032,2026-02-17,Airport Store,East,Smartphone,5,25000,125000
TXN-00033,2026-02-24,Downtown Store,West,Tablet,4,18000,72000
TXN-00034,2026-03-03,Mall Store,South,Monitor,5,22000,110000
TXN-00035,2026-03-10,Central Store,North,Keyboard,10,2500,25000
TXN-00036,2026-03-17,Airport Store,East,Laptop,2,75000,150000
TXN-00037,2026-03-24,Downtown Store,West,Smartphone,7,25000,175000
TXN-00038,2026-03-31,Mall Store,South,Tablet,6,18000,108000
TXN-00039,2026-04-07,Central Store,North,Monitor,4,22000,88000
TXN-00040,2026-04-14,Airport Store,East,Keyboard,16,2500,40000
TXN-00041,2026-04-21,Downtown Store,West,Laptop,3,75000,225000
TXN-00042,2026-04-28,Mall Store,South,Smartphone,6,25000,150000
TXN-00043,2026-05-05,Central Store,North,Tablet,5,18000,90000
TXN-00044,2026-05-12,Airport Store,East,Monitor,7,22000,154000
TXN-00045,2026-05-19,Downtown Store,West,Keyboard,18,2500,45000
TXN-00046,2026-05-26,Mall Store,South,Laptop,2,75000,150000
TXN-00047,2026-06-02,Central Store,North,Smartphone,5,25000,125000
TXN-00048,2026-06-09,Airport Store,East,Tablet,8,18000,144000
TXN-00049,2026-06-16,Downtown Store,West,Monitor,4,22000,88000
TXN-00050,2026-06-23,Mall Store,South,Keyboard,20,2500,50000
